Designator,Mid X,Mid Y,Rotation,Layer
_138,105.69,-91.17,0.0,top
_137,137.82,-105.83,0.0,top
_136,107.38,-89.96,0.0,top
_135,96.03,-93.43,0.0,top
_134,134.82,-105.76,0.0,top
_133,92.6,-91.09,0.0,top
_132,118.98,-101.19,0.0,top
_131,127.49,-91.22,0.0,top
_130,97.54,-87.63,90.0,top
_129,104.29,-102.54,0.0,top
_128,115.88,-92.69,0.0,top
_127,124.15,-102.53,0.0,top
_126,162.75,-89.64,0.0,top
_125,94.43,-89.94,0.0,top
_124,134.84,-106.95,0.0,top
_123,114.17,-102.5,0.0,top
_122,119.04,-99.32,0.0,top
_121,142.25,-106.99,0.0,top
_120,117.94,-94.57,0.0,top
_119,162.82,-97.08,0.0,top
_118,139.23,-105.87,0.0,top
_117,115.9,-89.39,0.0,top
_116,122.47,-101.2,0.0,top
_115,96.01,-95.85,0.0,top
_114,92.71,-84.6,90.0,top
_113,94.45,-93.43,0.0,top
_112,97.72,-100.06,0.0,top
_111,124.12,-101.21,0.0,top
_110,118.98,-98.16,0.0,top
_109,122.5,-102.52,0.0,top
_108,97.43,-86.15,90.0,top
_107,161.24,-97.11,0.0,top
_106,112.32,-101.18,0.0,top
_105,92.74,-86.18,90.0,top
_104,125.77,-91.2,0.0,top
_103,127.07,-95.68,0.0,top
_102,95.02,-86.18,90.0,top
_101,143.73,-107.02,0.0,top
_100,92.57,-94.61,0.0,top
_99,161.17,-89.67,0.0,top
_98,139.25,-107.06,0.0,top
_97,159.76,-97.22,0.0,top
_96,125.77,-101.12,0.0,top
_95,162.79,-99.46,0.0,top
_94,94.45,-100.04,0.0,top
_93,104.08,-89.94,0.0,top
_92,92.61,-93.44,0.0,top
_91,122.35,-91.21,0.0,top
_90,96.01,-89.94,0.0,top
_89,159.66,-87.37,0.0,top
_88,92.59,-95.86,0.0,top
_87,127.13,-97.65,0.0,top
_86,94.46,-98.9,0.0,top
_85,104.11,-91.17,0.0,top
_84,105.91,-102.55,0.0,top
_83,92.85,-87.66,90.0,top
_82,119.01,-102.51,0.0,top
_81,92.61,-92.24,0.0,top
_80,114.19,-101.18,0.0,top
_79,115.81,-101.19,0.0,top
_78,127.03,-94.64,0.0,top
_77,112.3,-102.5,0.0,top
_76,162.82,-94.5,0.0,top
_75,127.42,-89.99,0.0,top
_74,162.86,-91.95,0.0,top
_73,96.02,-91.08,0.0,top
_72,136.32,-106.99,0.0,top
_71,95.13,-87.66,90.0,top
_70,140.71,-107.02,0.0,top
_69,92.58,-100.04,0.0,top
_68,161.21,-99.49,0.0,top
_67,102.24,-89.95,0.0,top
_66,94.43,-95.85,0.0,top
_65,96.08,-98.91,0.0,top
_64,117.93,-91.15,0.0,top
_63,161.28,-91.98,0.0,top
_62,159.76,-94.64,0.0,top
_61,127.07,-96.68,0.0,top
_60,97.73,-98.92,0.0,top
_59,145.33,-107.04,0.0,top
_58,161.14,-84.98,0.0,top
_57,145.31,-105.85,0.0,top
_56,97.73,-89.96,0.0,top
_55,161.14,-87.26,0.0,top
_54,143.71,-105.83,0.0,top
_53,105.66,-89.94,0.0,top
_52,122.47,-98.17,0.0,top
_51,124.12,-98.18,0.0,top
_50,94.99,-84.6,90.0,top
_49,97.75,-92.25,0.0,top
_48,97.75,-93.45,0.0,top
_47,115.79,-102.51,0.0,top
_46,120.85,-101.19,0.0,top
_45,102.27,-91.18,0.0,top
_44,97.73,-95.87,0.0,top
_43,94.41,-94.6,0.0,top
_42,120.91,-99.32,0.0,top
_41,162.72,-84.95,0.0,top
_40,124.12,-89.97,0.0,top
_39,122.53,-99.33,0.0,top
_38,125.7,-89.97,0.0,top
_37,115.88,-91.11,0.0,top
_36,124.18,-99.34,0.0,top
_35,133.32,-106.89,0.0,top
_34,142.23,-105.8,0.0,top
_33,97.71,-94.62,0.0,top
_32,92.59,-98.9,0.0,top
_31,107.41,-91.19,0.0,top
_30,94.44,-91.08,0.0,top
_29,161.24,-94.53,0.0,top
_28,136.3,-105.8,0.0,top
_27,97.74,-91.1,0.0,top
_26,96.07,-100.05,0.0,top
_25,162.72,-87.23,0.0,top
_24,92.59,-89.95,0.0,top
_23,133.3,-105.7,0.0,top
_22,115.89,-94.53,0.0,top
_21,102.42,-102.54,0.0,top
_20,120.88,-102.51,0.0,top
_19,95.99,-94.6,0.0,top
_18,159.8,-92.09,0.0,top
_17,96.03,-92.23,0.0,top
_16,117.95,-89.43,0.0,top
_15,117.44,-102.52,0.0,top
_14,124.19,-91.2,0.0,top
_13,159.73,-99.6,0.0,top
_12,125.82,-102.560002,0.0,top
_11,94.45,-92.23,0.0,top
_10,140.69,-105.83,0.0,top
_9,107.56,-102.56,0.0,top
_8,117.93,-92.73,0.0,top
_7,137.84,-107.02,0.0,top
_6,159.69,-89.78,0.0,top
_5,122.28,-89.98,0.0,top
_4,97.4,-84.57,90.0,top
_3,117.46,-101.2,0.0,top
_2,120.85,-98.16,0.0,top
,159.66,-85.09,0.0,top
C1,129.88,-102.33,270.0,top
C2,138.62,-100.77,180.0,top
C3,133.64,-89.64,180.0,top
J1,104.320399,-82.209899,180.0,top
J2,118.3328,-82.2052,180.0,top
J3,134.114598,-82.155299,180.0,top
J4,148.844,-82.1944,180.0,top
J5,105.019101,-97.360598,90.0,top
R1,133.65,-92.25,180.0,top
U1,130.4044,-96.266,270.0,top
